stem,freq,rank,best_lang,best_form,best_gloss,best_cat,confidence,syriac_skel,syriac_reading,status
qokal,3,239,latin,libra,pound,MEAS,1.0,wkl,w-kol/kuhla,matched
lom,3,240,latin,dat,gives,VERB,1.0,lm,l-min-,matched
solkee,3,241,occitan,vespre,evening,TIME,1.0,slk,-,matched
yshee,3,242,latin,habet,has,VERB,1.0,ys,-,matched
dalo,3,243,occitan,tres,three,MEAS,1.0,dl,dala,matched
qopshed,3,244,latin,ponitur,is placed,VERB,1.0,wpsd,-,matched
rsheed,3,245,occitan,plagua,wound,MED,1.0,rsd,-,matched
dcheo,3,246,latin,facit,does,VERB,1.0,dk,d-ki-,matched
shold,3,247,occitan,nuoch,night,TIME,1.0,sld,-,matched
okalo,3,248,syriac,kl,kol/kuhla,SYR,0.9,kl,kol/kuhla,matched
yteed,3,249,occitan,matin,morning,TIME,1.0,ytd,-,matched
qokeda,3,250,occitan,sauvia,sage,PLANT,0.85,wkd,-,matched
dalshd,3,251,occitan,canela,cinnamon,PLANT,0.85,dlsd,-,matched
lr,3,252,latin,mandragora,mandrake,PLANT,0.75,lr,-,matched
solkeed,3,253,occitan,malautia,illness,MED,0.85,slkd,-,matched
lcheckh,3,254,latin,hyoscyamus,henbane,PLANT,0.75,lkkk,-,matched
lkeed,3,255,occitan,dolor,pain,MED,1.0,lkd,-,matched
chedo,3,256,occitan,febre,fever,MED,1.0,kd,-,matched
ls,3,257,syriac,ls,lasha,SYR,0.9,ls,lasha,matched
lcheo,3,258,-,-,-,-,0.0,lk,l-ki-,unmatched
okeo,3,259,syriac,k,ki-,SYR,0.9,k,ki-,matched
dcho,3,260,occitan,jorn,day,TIME,1.0,dk,d-ki-,matched
olchee,3,261,-,-,-,-,0.0,lk,l-ki-,unmatched
ora,3,262,latin,una,one,MEAS,1.0,r,-,matched
oy,3,263,occitan,a,has,VERB,0.85,y,-,matched
qolkee,3,264,occitan,safran,saffron,PLANT,0.85,wlk,-,matched
lchee,3,265,-,-,-,-,0.0,lk,l-ki-,unmatched
qod,3,266,occitan,met,places,VERB,1.0,wd,w-d-,matched
od,3,267,syriac,d,d-,SYR,0.9,d,d-,matched
olkeee,3,268,-,-,-,-,0.0,lk,l-ki-,unmatched
otshd,3,269,-,-,-,-,0.0,tsd,-,unmatched
chkai,3,270,-,-,-,-,0.0,kk,-,unmatched
keeed,3,271,-,-,-,-,0.0,kd,-,unmatched
lkee,3,272,occitan,fach,does,VERB,1.0,lk,l-ki-,matched
solche,3,273,-,-,-,-,0.0,slk,-,unmatched
qockhe,3,274,-,-,-,-,0.0,wkk,-,unmatched
opche,3,275,-,-,-,-,0.0,pk,-,unmatched
dolshed,3,276,-,-,-,-,0.0,dlsd,-,unmatched
ola,3,277,occitan,ora,hour,TIME,1.0,l,l-,matched
solshed,3,278,-,-,-,-,0.0,slsd,-,unmatched
chked,3,279,-,-,-,-,0.0,kkd,-,unmatched
kchd,3,280,-,-,-,-,0.0,kkd,-,unmatched
